precio;dist_centro;long;metros;planta;tipo_vivienda;n_banos;n_habitaciones;barrio;ciudad;renta_media_barrio_persona;ascensor;garaje;trastero
712000;0.8655119569531946;254159.8992248062;156;291211.22388059704;252778.02649006623;2;4;612584.0909090909;334480.57597816194;35944.0;1;0;1
360000;3.4589497448754223;254159.8992248062;63;274504.0;275298.29411764705;1;2;319100.0;334480.57597816194;21113.0;1;0;0
298000;9.301895204153878;298000.0;183;290345.9590643275;265952.5438596491;3;4;227430.84246575343;190057.55539568345;24575.0;0;1;1
68000;0.9109516983672912;254159.8992248062;60;225398.6948051948;252778.02649006623;1;3;114894.54545454546;190057.55539568345;17745.0;1;0;1
124000;1.2436158494060192;254159.8992248062;63;225398.6948051948;252778.02649006623;1;2;281037.2549019608;334480.57597816194;18625.0;1;0;0
130000;8858.027780382601;254159.8992248062;77;225398.6948051948;252778.02649006623;1;3;166590.6976744186;334480.57597816194;15431.0;1;1;0
189500;1.3889708800393612;254159.8992248062;85;291211.22388059704;252778.02649006623;1;3;197142.3076923077;334480.57597816194;17409.0;1;0;0
88000;0.8394195740887929;254159.8992248062;90;230998.28666666665;252778.02649006623;1;3;114894.54545454546;190057.55539568345;17745.0;1;0;0
176000;3.002687692374605;254159.8992248062;120;291211.22388059704;252778.02649006623;2;2;249431.80327868852;190057.55539568345;28580.0;1;1;1
137000;0.8771966075968124;254159.8992248062;80;236459.85382830625;252778.02649006623;1;2;286030.76923076925;190057.55539568345;26676.0;1;0;0
189000;2.1054075656882167;254159.8992248062;157;290345.9590643275;265952.5438596491;2;3;104201.38888888889;190057.55539568345;18025.0;0;1;0
58800;1.6543584818323;58800.0;59;262086.6534090909;252778.02649006623;1;3;104201.38888888889;190057.55539568345;18025.0;0;0;0
300000;2.5700325576959417;254159.8992248062;72;225398.6948051948;252778.02649006623;2;2;380916.2162162162;334480.57597816194;23759.0;1;1;1
125000;4.066042130799416;254159.8992248062;49;236459.85382830625;173195.92741935485;1;1;227430.84246575343;190057.55539568345;24575.0;1;1;1
260000;0.305122011107909;254159.8992248062;124;236459.85382830625;252778.02649006623;2;3;327772.18343195267;190057.55539568345;32596.0;1;1;0
88000;1.7702223089233784;254159.8992248062;78;225398.6948051948;252778.02649006623;1;2;90312.65868263473;190057.55539568345;18614.0;1;0;0
94500;0.7013216022532431;254159.8992248062;67;225398.6948051948;252778.02649006623;1;2;227430.84246575343;190057.55539568345;24575.0;1;0;0
201000;8858.027780382601;254159.8992248062;92;236459.85382830625;252778.02649006623;2;3;166590.6976744186;334480.57597816194;15431.0;1;1;0
480000;1.3752699475829404;254159.8992248062;78;291211.22388059704;275298.29411764705;2;3;522040.97222222225;334480.57597816194;35702.0;1;0;0
128500;0.5969671808918516;254159.8992248062;83;230998.28666666665;252778.02649006623;1;3;293246.6666666667;190057.55539568345;25834.0;1;0;0
58700;1.2344524753320567;58700.0;81;262086.6534090909;252778.02649006623;1;3;90312.65868263473;190057.55539568345;18614.0;0;0;0
295000;1.6525553817100749;254159.8992248062;77;291211.22388059704;252778.02649006623;1;3;318473.3333333333;334480.57597816194;21511.0;1;0;0
121000;1.7702223089233784;254159.8992248062;95;291211.22388059704;252778.02649006623;1;3;90312.65868263473;190057.55539568345;18614.0;1;0;0
310000;9.301895204153878;310000.0;189;290345.9590643275;265952.5438596491;3;4;227430.84246575343;190057.55539568345;24575.0;0;1;1
97000;1.690875333568663;254159.8992248062;94;230998.28666666665;252778.02649006623;1;3;104201.38888888889;190057.55539568345;18025.0;1;0;0
105000;0.305122011107909;254159.8992248062;40;291211.22388059704;173195.92741935485;1;1;238646.66666666666;190057.55539568345;25912.0;1;0;0
289000;1.3259945696594098;289000.0;96;236459.85382830625;252778.02649006623;2;3;231266.66666666666;190057.55539568345;25538.0;1;1;1
127000;2.5343862381235613;127000.0;121;289652.5281385281;421922.0689655172;2;3;168983.80555555556;190057.55539568345;24683.0;1;1;1
160000;1.2153671689766596;254159.8992248062;110;230998.28666666665;252778.02649006623;2;4;191365.7;190057.55539568345;24683.0;1;1;1
136000;32.81629534629926;254159.8992248062;85;289652.5281385281;252778.02649006623;1;3;227430.84246575343;190057.55539568345;24575.0;1;0;0
69300;1.450537080732856;69300.0;76;262086.6534090909;252778.02649006623;1;3;191365.7;190057.55539568345;24683.0;1;0;0
259000;0.4354141220827078;254159.8992248062;75;291211.22388059704;252778.02649006623;2;2;282493.75;334480.57597816194;22492.0;1;0;0
247000;3.0737485106451934;282350.0;130;225398.6948051948;252778.02649006623;2;3;227430.84246575343;190057.55539568345;24575.0;1;1;1
395000;0.0;395000.0;96;230998.28666666665;252778.02649006623;2;3;327772.18343195267;190057.55539568345;32596.0;1;0;0
430000;3.442028476647081;254159.8992248062;310;290345.9590643275;265952.5438596491;4;4;249431.80327868852;190057.55539568345;28580.0;0;1;1
235000;0.4196811360257195;254159.8992248062;149;236459.85382830625;252778.02649006623;1;3;293246.6666666667;190057.55539568345;25834.0;1;1;1
390000;1.3920316392188048;390000.0;180;283393.22222222225;252778.02649006623;2;4;219496.55172413794;334480.57597816194;16822.0;0;1;1
144900;1.4100061654244078;144900.0;69;262086.6534090909;252778.02649006623;1;2;197142.3076923077;334480.57597816194;17409.0;1;1;0
122000;1.2058896846694862;254159.8992248062;80;291211.22388059704;173195.92741935485;1;1;176404.87931034484;190057.55539568345;17745.0;1;1;0
229000;0.5385858376015618;229000.0;110;236459.85382830625;252778.02649006623;2;3;197418.125;190057.55539568345;25654.0;1;0;0
178000;1.3261616697396308;254159.8992248062;58;225398.6948051948;252778.02649006623;1;2;525095.0;334480.57597816194;29160.0;0;0;0
77000;1.229370925532622;77000.0;65;230998.28666666665;173195.92741935485;1;1;129751.72413793103;190057.55539568345;19662.0;0;0;1
575000;1.3752699475829404;254159.8992248062;150;225398.6948051948;252778.02649006623;2;5;522040.97222222225;334480.57597816194;35702.0;1;0;1
146500;1.2058896846694862;254159.8992248062;75;236459.85382830625;173195.92741935485;1;1;90312.65868263473;190057.55539568345;18614.0;1;1;1
75000;1.2638236558193576;254159.8992248062;62;230998.28666666665;252778.02649006623;1;3;114894.54545454546;190057.55539568345;17745.0;0;0;0
235000;2.559146443073105;254159.8992248062;75;230998.28666666665;252778.02649006623;1;2;199736.875;334480.57597816194;18605.0;1;1;1
395000;0.4655030800956945;254159.8992248062;97;230998.28666666665;252778.02649006623;2;3;612584.0909090909;334480.57597816194;35944.0;1;0;0
192000;3.0737485106451934;282350.0;110;225398.6948051948;252778.02649006623;2;2;227430.84246575343;190057.55539568345;24575.0;1;1;1
180000;3.302168831651281;180000.0;107;225398.6948051948;252778.02649006623;2;3;90312.65868263473;190057.55539568345;18614.0;1;1;1
145000;30.97209522300561;154000.0;96;225398.6948051948;252778.02649006623;2;2;176404.87931034484;190057.55539568345;17745.0;0;1;1
300000;1.319923246760642;254159.8992248062;103;236459.85382830625;252778.02649006623;2;3;197418.125;190057.55539568345;25654.0;1;1;1
57000;0.01856246264644492;254159.8992248062;85;236459.85382830625;252778.02649006623;1;3;90312.65868263473;190057.55539568345;18614.0;0;0;0
180000;0.8260522189420613;254159.8992248062;97;262086.6534090909;252778.02649006623;1;2;219496.55172413794;334480.57597816194;16822.0;1;0;0
90000;2.3076693396997645;254159.8992248062;73;236459.85382830625;252778.02649006623;1;4;90312.65868263473;190057.55539568345;18614.0;1;0;1
121999;19.458327859751172;254159.8992248062;80;225398.6948051948;252778.02649006623;2;2;111267.36956521739;190057.55539568345;19.537;1;1;1
35800;0.01856246264644492;254159.8992248062;82;262086.6534090909;252778.02649006623;1;4;104201.38888888889;190057.55539568345;18025.0;0;0;0
550000;0.9187182514863032;254159.8992248062;364;291211.22388059704;252778.02649006623;2;6;191365.7;190057.55539568345;24683.0;1;1;1
550000;0.4655030800956945;254159.8992248062;165;236459.85382830625;252778.02649006623;1;8;612584.0909090909;334480.57597816194;35944.0;0;0;0
725000;1.3767802015735628;254159.8992248062;140;283393.22222222225;252778.02649006623;2;3;522040.97222222225;334480.57597816194;35702.0;1;1;0
110000;1.6432391096150405;254159.8992248062;108;236459.85382830625;252778.02649006623;1;3;104201.38888888889;190057.55539568345;18025.0;1;0;0
360000;1.9883162607884093;254159.8992248062;276;290345.9590643275;265952.5438596491;4;4;111267.36956521739;190057.55539568345;19.537;0;1;0
320000;0.9122765790052186;320000.0;152;291211.22388059704;252778.02649006623;2;5;327772.18343195267;190057.55539568345;32596.0;1;1;1
166000;0.305122011107909;254159.8992248062;81;262086.6534090909;252778.02649006623;1;3;327772.18343195267;190057.55539568345;32596.0;1;0;0
341000;3.0737485106451934;282350.0;171;283393.22222222225;252778.02649006623;2;4;227430.84246575343;190057.55539568345;24575.0;1;1;1
44000;1.690875333568663;254159.8992248062;77;225398.6948051948;252778.02649006623;1;3;104201.38888888889;190057.55539568345;18025.0;0;0;0
340000;4.117803862239821;254159.8992248062;83;236459.85382830625;252778.02649006623;2;2;380916.2162162162;334480.57597816194;23759.0;1;1;1
189000;2.644584738695829;189000.0;96;236459.85382830625;252778.02649006623;2;4;176404.87931034484;190057.55539568345;17745.0;1;1;1
99000;17.582697166705472;254159.8992248062;146;290345.9590643275;265952.5438596491;1;2;104201.38888888889;190057.55539568345;18025.0;0;1;1
250000;4.367476002881647;254159.8992248062;193;225398.6948051948;252778.02649006623;2;4;166590.6976744186;334480.57597816194;15431.0;1;0;1
93600;1.7702223089233784;254159.8992248062;86;225398.6948051948;252778.02649006623;1;2;104201.38888888889;190057.55539568345;18025.0;1;0;0
